description,fdcId,dataType,publishedDate,brands,categories,code
"Fruit salad, excluding citrus fruits, with marshmallows",2709299,Survey (FNDDS),2024-10-31,,,
"Fruit salad, excluding citrus fruits, with pudding",2709301,Survey (FNDDS),2024-10-31,,,
"Fruit salad, including citrus fruits, with marshmallows",2709305,Survey (FNDDS),2024-10-31,,,
"Fruit salad, including citrus fruits, with pudding",2709300,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, with whole fruit, non-dairy",2709336,Survey (FNDDS),2024-10-31,,,
"Fruit salad, excluding citrus fruits, with whipped cream",2709297,Survey (FNDDS),2024-10-31,,,
"Fruit salad, including citrus fruit, with whipped cream",2709303,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, with whole fruit and dairy, added protein",2705515,Survey (FNDDS),2024-10-31,,,
"Fruit smoothie, with whole fruit, no dairy, added protein",2709335,Survey (FNDDS),2024-10-31,,,
"Dried, fruit, NFS",2709195,Survey (FNDDS),2024-10-31,,,
"Fruit mixture, frozen",2709292,Survey (FNDDS),2024-10-31,,,
Cornmeal dressing with chicken or turkey and vegetables,2708746,Survey (FNDDS),2024-10-31,,,
"Fruit salad, fresh or raw, excluding citrus fruits, no dressing",2709287,Survey (FNDDS),2024-10-31,,,
"Candy, fruit leather",2710368,Survey (FNDDS),2024-10-31,,,
"Fruit salad, fresh or raw, including citrus fruits, no dressing",2709288,Survey (FNDDS),2024-10-31,,,
Spaghetti sauce with meat and added vegetables,2706471,Survey (FNDDS),2024-10-31,,,
Spaghetti sauce with poultry and added vegetables,2706423,Survey (FNDDS),2024-10-31,,,
Spaghetti sauce with seafood and added vegetables,2706454,Survey (FNDDS),2024-10-31,,,
Topping from meat and vegetable pizza,2705790,Survey (FNDDS),2024-10-31,,,
Fruit juice drink,2710567,Survey (FNDDS),2024-10-31,,,
Fruit flavored drink,2710573,Survey (FNDDS),2024-10-31,,,
"Chayote, fruit, raw",170402,SR Legacy,2019-04-01,,,
Alfredo sauce with meat and added vegetables,2705812,Survey (FNDDS),2024-10-31,,,
Alfredo sauce with poultry and added vegetables,2705814,Survey (FNDDS),2024-10-31,,,
Alfredo sauce with seafood and added vegetables,2705816,Survey (FNDDS),2024-10-31,,,
"Antipasto with ham, fish, cheese, vegetables",2706874,Survey (FNDDS),2024-10-31,,,
"Babyfood, dinner, mixed vegetable, junior",172281,SR Legacy,2019-04-01,,,
"Babyfood, dinner, mixed vegetable, strained",173514,SR Legacy,2019-04-01,,,
"Babyfood, dinner, vegetables and beef, junior",173495,SR Legacy,2019-04-01,,,
